"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","NumeroMorts","NumeroLesionatsLleus","NumeroLesionatsGreus","NumeroVictimes","NumeroVehiclesImplicats","CoordenadaUTM_X","CoordenadaUTM_Y"
"2014S002326","2","Ds",2014,3,"Marc",29,22,0,1,0,1,1,429592,4581803
"2014S008938","2","Dj",2014,12,"Desembre",4,19,0,1,0,1,2,429549,4581895
"2014S004491","2","Dc",2014,6,"Juny",18,8,0,2,0,2,2,429549,4581895
"2014S008201","2","Ds",2014,11,"Novembre",8,10,0,5,0,5,2,428759,4581922
"2014S008798","2","Ds",2014,11,"Novembre",29,6,0,2,0,2,2,429176,4581770
"2014S008828","2","Dg",2014,11,"Novembre",30,18,0,1,0,1,1,429554,4581580
"2014S000293","2","Dm",2014,1,"Gener",14,8,0,1,0,1,2,429295,4582154
"2014S007182","2","Dl",2014,10,"Octubre",6,13,0,1,0,1,2,429605,4581629
"2014S007674","2","Dc",2014,10,"Octubre",22,14,0,1,0,1,3,429697,4581720
"2014S004073","2","Dm",2014,6,"Juny",3,12,0,6,0,6,5,429699,4581733
"2014S008154","2","Dv",2014,11,"Novembre",7,8,0,1,0,1,1,429364,4581954
"2014S009595","2","Dg",2014,12,"Desembre",28,13,0,1,0,1,1,429358,4581388
"2014S008226","2","Dg",2014,11,"Novembre",9,19,0,1,0,1,2,428674,4581706
"2014S003634","2","Ds",2014,5,"Maig",17,18,0,1,0,1,2,428967,4581906
"2014S006356","2","Dc",2014,9,"Setembre",3,20,0,1,0,1,4,429182,4581353
"2014S009639","2","Dm",2014,12,"Desembre",30,8,0,1,0,1,4,428903,4581839
"2014S003169","2","Dm",2014,4,"Abril",29,22,0,0,1,1,2,428672,4581315
"2014S007899","2","Dj",2014,10,"Octubre",30,8,0,0,0,0,1,428659,4581420
"2014S009356","2","Dv",2014,12,"Desembre",19,11,0,1,0,1,2,429315,4581345
"2014S006746","2","Dv",2014,9,"Setembre",19,19,0,1,0,1,1,429366,4581769
"2014S001538","2","Dv",2014,2,"Febrer",28,22,0,1,0,1,2,429091,4581650
"2014S005845","2","Ds",2014,8,"Agost",9,13,0,1,0,1,2,429091,4581650
"2014S003508","2","Dm",2014,5,"Maig",13,12,0,1,0,1,2,429091,4581650
"2014S006525","2","Dc",2014,9,"Setembre",10,22,0,0,0,0,2,428843,4582005
"2014S004431","2","Dl",2014,6,"Juny",16,14,0,1,0,1,2,429321,4581561
"2014S005436","2","Dm",2014,7,"Juliol",22,18,0,0,1,1,2,428852,4581639
"2014S006756","2","Dv",2014,9,"Setembre",19,19,0,3,0,3,2,428886,4581485
"2014S006638","2","Dm",2014,9,"Setembre",16,11,0,1,0,1,2,428981,4581578
"2014S000743","2","Dv",2014,1,"Gener",31,13,0,0,1,1,3,428981,4581578
"2014S007962","2","Dv",2014,10,"Octubre",31,15,0,1,0,1,2,428994,4581592
"2014S004958","2","Ds",2014,7,"Juliol",5,7,0,0,0,0,4,429280,4581644
"2014S003144","2","Dm",2014,4,"Abril",29,11,0,2,0,2,2,428665,4582016
"2014S004863","2","Dc",2014,7,"Juliol",2,18,0,2,0,2,2,429594,4580955
"2014S001378","2","Dl",2014,2,"Febrer",24,18,0,1,0,1,2,428435,4582118
"2014S000649","2","Dm",2014,1,"Gener",28,8,0,2,0,2,2,428913,4581669
"2014S003785","2","Dv",2014,5,"Maig",23,12,0,1,0,1,2,429505,4581788
"2014S006642","2","Dm",2014,9,"Setembre",16,13,0,1,0,1,2,428940,4581759
"2014S001619","2","Dm",2014,3,"Marc",4,13,0,1,0,1,2,429356,4582849
"2014S000582","2","Dv",2014,1,"Gener",24,17,0,1,0,1,2,429898,4582342
"2014S002564","2","Dg",2014,4,"Abril",6,21,0,1,0,1,2,430275,4582307
"2014S005750","2","Dl",2014,8,"Agost",4,21,0,1,0,1,2,429661,4581979
"2014S005886","2","Dl",2014,8,"Agost",11,17,0,1,0,1,2,429621,4582977
"2014S005870","2","Dl",2014,8,"Agost",11,8,0,1,0,1,2,429525,4582675
"2014S003133","2","Dl",2014,4,"Abril",28,19,0,1,0,1,1,429632,4582183
"2014S005050","2","Dm",2014,7,"Juliol",8,14,0,1,0,1,2,430035,4582237
"2014S000896","2","Dc",2014,2,"Febrer",5,18,0,1,0,1,1,429806,4582788
"2014S008032","2","Dl",2014,11,"Novembre",3,12,0,2,0,2,3,430123,4582293
"2014S007925","2","Dj",2014,10,"Octubre",30,19,0,1,0,1,1,430195,4582363
"2014S007359","2","Dl",2014,10,"Octubre",13,10,0,1,0,1,2,430151,4582351
"2014S005941","2","Dj",2014,8,"Agost",14,8,0,1,0,1,2,429705,4582102
